,title,ingredients,directions,link,source,NER
2169696,Caramel Apple Bread Pudding,"['28 caramels, unwrapped', '14 cup water', '4 cups bread, cubed, i use biscuits sometimes', '4 cups apples, peeled and sliced', '5 eggs, slightly beaten', '2 cups milk', '14 cup sugar', '1 tablespoon vanilla', '14 teaspoon salt', '14 teaspoon cinnamon']","['Melt caramels with water in a covered double boiler or a sauce pan over low heat.', 'Stir occasionally until sauce is smooth.', 'Place bread cubes in a greased 113/4 X 7-1/2 Baking dish.', 'Top with apple slices.', 'Combine Milk, suga, vanilla, salt and cinnamon.', 'Pour over apples, cover with caramel sauce .', 'Set dish in a large pan on oven rack, pour in boiling water to 1/2 inch in depth.', 'Bake at 325*for 1 hr and 20 minute or untol knife inserted in center comes out clean.', 'Serve hot or cold.', 'NOTE: I sometimes add pecan pieces or raisins for a change.']",www.food.com/recipe/caramel-apple-bread-pudding-434211,Recipes1M,"['caramels', 'water', 'bread', 'apples', 'eggs', 'milk', 'sugar', 'vanilla', 'salt', 'cinnamon']"
185233,Dirt Pudding,"['1/4 c. margarine', '8 oz. cream cheese', '3 c. cold milk', '20 oz. Oreo cookies', '1 c. powdered sugar', '2 small boxes vanilla pudding', '12 oz. Cool Whip, thawed']","['Cream the margarine, powdered sugar and cream cheese together. Add both boxes of pudding mix and then the cold milk.', 'Blend until smooth.', 'Fold in the Cool Whip.', 'Crush the Oreo cookies to resemble dirt (a food processor does a great job).', 'In a see-through bowl, place a layer of about 1/2 the cookie mixture, then all of the pudding mixture and top it with the remainder of the dirt.\tA few strategically placed gummy worms can add a special touch!']",www.cookbooks.com/Recipe-Details.aspx?id=90516,Gathered,"['margarine', 'cream cheese', 'cold milk', 'Oreo cookies', 'powdered sugar', 'vanilla pudding']"
1082502,Copycat Mcdonald'S  Broccoli Cheese Soup,"['2 cups water', '1/2 cup flour', '1/2 cup powdered milk', '3 tablespoons chicken bouillon powder', '1 teaspoon instant minced onion', 'black pepper', '5 ounces frozen chopped broccoli', '1 tablespoon sour cream', '1 tablespoon butter', '1 slice American cheese']","['Into blender put first 6 ingredients.', 'Blend on high until smooth.', 'Pick out larger pieces of broccoli and put in blender.', 'Blend those until tiny bits.', 'Put aside 3/4 cup cooking water from broccoli and discard rest of water.', 'Pour blender mixture into top of double boiler over simmering water, stirring until smooth and thickened.', 'Stir in cooking water and broccoli, diced fine.', 'Add remaining ingredients.']",www.food.com/recipe/copycat-mcdonalds-broccoli-cheese-soup-476501,Gathered,"['water', 'flour', 'powdered milk', 'chicken bouillon powder', 'onion', 'black pepper', 'broccoli', 'sour cream', 'butter', 'American cheese']"
2204889,COWBOY'S Thanksgiving Leftover Enchiladas,"['1 lb leftover roast turkey, light or dark', '1 lb leftover stuffing', '1 pints turkey gravy', '1 cup cranberry pepper jelly', '4 large flour tortillas']","['Preheat oven to 350', 'Shred turkey to manageable bitesize pieces', 'Layer turkey, stuffing and cranberry jelly on tortillas and roll into enchiladas.', 'Place enchiladas in baking dish and pour gravy over the top.', 'bake for 20-30 minutes or until warmed thuroughly.', 'Serve and enjoy a unique way to eat your Thanksgiving leftovers!']",cookpad.com/us/recipes/331756-cowboys-thanksgiving-leftover-enchiladas,Recipes1M,"['leftover roast turkey', 'leftover stuffing', 'turkey gravy', 'cranberry pepper', 'flour tortillas']"
699176,Broccoli Corn Bread,"['4 eggs, beaten', '1 stick melted butter', '1 medium onion, chopped', '1 c. sour cream or cottage cheese', '1 tsp. salt', '1 small pkg. chopped broccoli (frozen)', '1 pkg. Jiffy corn muffin mix plus 2 heaping Tbsp. corn meal mix']",['Stir all ingredients together; pour into a greased skillet and bake 30 minutes at 400°.'],www.cookbooks.com/Recipe-Details.aspx?id=763743,Gathered,"['eggs', 'butter', 'onion', 'sour cream', 'salt', 'broccoli', 'corn muffin']"
1380692,Paleo Birthday Cake,"['1/2 cup coconut flour', '1/2 cup cacao powder', '1/2 teaspoon celtic sea salt', '1/2 teaspoon baking soda', '8 large eggs', '1/2 cup coconut oil', '1/2 cup honey']","['Pulse together dry ingredients in a food processor', 'Pulse in wet ingredients', 'Grease two 6-inch cake pans with coconut oil', 'Pour batter into prepared cake pans', 'Bake at 350° for 25-30 minutes', 'Cool and frost with a double batch of Paleo Chocolate Frosting', 'Serve']",food52.com/recipes/38055-paleo-birthday-cake,Gathered,"['coconut flour', 'cacao powder', 'celtic sea salt', 'baking soda', 'eggs', 'coconut oil', 'honey']"
853412,Cream Cheese Pound Cake,"['1 c. oleo', '1/2 c. butter', '1 (8 oz.) pkg. cream cheese', '3 c. sugar (or less)', 'dash of salt', '2 tsp. vanilla', '6 large eggs', '3 c. cake flour', '1/2 tsp. baking powder']","['Do not preheat oven!', 'Combine oleo, butter, cream cheese and sugar.', 'Beat well.', 'Add salt and vanilla.', 'Add eggs one at a time. Beat well after each addition.', 'Add flour and mix well.', 'Pour batter into greased 10-inch tube pan.', 'Place pan in cold oven. Bake 1 1/2 hours at 275°.']",www.cookbooks.com/Recipe-Details.aspx?id=824685,Gathered,"['oleo', 'butter', 'cream cheese', 'sugar', 'salt', 'vanilla', 'eggs', 'cake flour', 'baking powder']"
690585,Orange Slice Cake,"['3 1/2 c. plain flour', '1 c. butter', '4 eggs', '2 c. sugar', '1 tsp. soda, dissolved in 1/2 c. buttermilk', '1 box dates, chopped', '1 box flaked coconut', '2 c. chopped nuts', '1 lb. pkg. orange slice candy, cut up']","['Cream butter and sugar.', 'Add eggs, one at a time.', 'Add flour alternating with milk.', 'Roll nuts, orange slices and dates in flour.', 'Add along with coconut to batter.', 'Batter is very stiff. Mix with hands.', 'Bake in tube pan at 250° for 2 to 2 1/2 hours. Top with Orange Sauce.']",www.cookbooks.com/Recipe-Details.aspx?id=418373,Gathered,"['flour', 'butter', 'eggs', 'sugar', 'soda', 'dates', 'coconut', 'nuts', 'orange slice candy']"
512210,Corned Beef Dish,"['1 (12 oz.) can corned beef', '3/4 c. uncooked rice', '1 (No. 2) can tomatoes', '1 medium onion, sliced', '1 green pepper (optional), coarsely cut', '1 tsp. salt', '1/2 tsp. pepper', '1 c. water']","['In large skillet, break corned beef into pieces.', 'Add rice, tomatoes, onion, green pepper, salt, pepper and water.', 'Place over high heat.', 'Bring to a vigorous boil.', 'Turn heat down.', 'Cover and allow to cook slowly for 30 minutes or until rice is tender. Serve from skillet if desired.', 'Makes 8 servings.']",www.cookbooks.com/Recipe-Details.aspx?id=952980,Gathered,"['corned beef', 'rice', 'tomatoes', 'onion', 'green pepper', 'salt', 'pepper', 'water']"
703160,Stuffed Baked Potatoes,"['6 large baking potatoes', 'vegetable oil', '3 1/4 c. milk', '4 Tbsp. (1/2 stick) butter or margarine', '1 envelope (2 packets) green onion dip mix']","['Scrub potatoes with a vegetable brush; dry with paper toweling. Rub skins all over with vegetable oil to keep them soft.', 'Place potatoes in a large shallow pan.', 'Bake in same slow oven (325°) with roast for 1 1/2 hours, or until potatoes are soft.', 'Remove from oven, but leave heat turned on.', 'Using pot holders to protect your fingers, make a slice lengthwise from top of potato and leave off.', 'Carefully scoop out the insides with a teaspoon.']",www.cookbooks.com/Recipe-Details.aspx?id=949529,Gathered,"['baking potatoes', 'vegetable oil', 'milk', 'butter', 'packets']"
